"","X","taxon_name","area_code_l3","introduced","extinct","location_doubtful"
"1",203060,"Spiranthes aestivalis","GRB",0,1,0
"2",203061,"Spiranthes aestivalis","AUT",0,0,0
"3",203062,"Spiranthes aestivalis","BGM",0,1,0
"4",203063,"Spiranthes aestivalis","CZE",0,0,0
"5",203064,"Spiranthes aestivalis","GER",0,0,0
"6",203065,"Spiranthes aestivalis","HUN",0,0,0
"7",203066,"Spiranthes aestivalis","NET",0,1,0
"8",203067,"Spiranthes aestivalis","SWI",0,0,0
"9",203068,"Spiranthes aestivalis","COR",0,0,0
"10",203069,"Spiranthes aestivalis","FRA",0,0,0
"11",203070,"Spiranthes aestivalis","POR",0,0,0
"12",203071,"Spiranthes aestivalis","SAR",0,0,0
"13",203072,"Spiranthes aestivalis","SPA",0,0,0
"14",203073,"Spiranthes aestivalis","GRC",0,0,1
"15",203074,"Spiranthes aestivalis","ITA",0,0,0
"16",203075,"Spiranthes aestivalis","YUG",0,0,0
"17",203076,"Spiranthes aestivalis","ALG",0,0,0
"18",203077,"Spiranthes aestivalis","MOR",0,0,0
"19",203078,"Spiranthes aestivalis","TUN",0,0,0
"20",203079,"Spiranthes australis","RUE",0,0,0
"21",203080,"Spiranthes australis","ALT",0,0,0
"22",203081,"Spiranthes australis","BRY",0,0,0
"23",203082,"Spiranthes australis","CTA",0,0,0
"24",203083,"Spiranthes australis","IRK",0,0,0
"25",203084,"Spiranthes australis","KRA",0,0,0
"26",203085,"Spiranthes australis","TVA",0,0,0
"27",203086,"Spiranthes australis","WSB",0,0,0
"28",203087,"Spiranthes australis","YAK",0,0,0
"29",203088,"Spiranthes australis","AMU",0,0,0
"30",203089,"Spiranthes australis","KHA",0,0,0
"31",203090,"Spiranthes australis","KUR",0,0,0
"32",203091,"Spiranthes australis","PRM",0,0,0
"33",203092,"Spiranthes australis","SAK",0,0,0
"34",203093,"Spiranthes australis","TCS",0,0,0
"35",203094,"Spiranthes australis","AFG",0,0,0
"36",203095,"Spiranthes australis","IRN",0,0,0
"37",203096,"Spiranthes australis","IRQ",0,0,0
"38",203097,"Spiranthes australis","CHC",0,0,0
"39",203098,"Spiranthes australis","CHH",0,0,0
"40",203099,"Spiranthes australis","CHI",0,0,0
"41",203100,"Spiranthes australis","CHM",0,0,0
"42",203101,"Spiranthes australis","CHN",0,0,0
"43",203102,"Spiranthes australis","CHQ",0,0,0
"44",203103,"Spiranthes australis","CHS",0,0,0
"45",203104,"Spiranthes australis","CHT",0,0,0
"46",203105,"Spiranthes australis","CHX",0,0,0
"47",203106,"Spiranthes australis","MON",0,0,0
"48",203107,"Spiranthes australis","JAP",0,0,0
"49",203108,"Spiranthes australis","KOR",0,0,0
"50",203109,"Spiranthes australis","NNS",0,0,0
"51",203110,"Spiranthes australis","TAI",0,0,0
"52",203111,"Spiranthes australis","ASS",0,0,0
"53",203112,"Spiranthes australis","BAN",0,0,0
"54",203113,"Spiranthes australis","EHM",0,0,0
"55",203114,"Spiranthes australis","IND",0,0,0
"56",203115,"Spiranthes australis","NEP",0,0,0
"57",203116,"Spiranthes australis","PAK",0,0,0
"58",203117,"Spiranthes australis","SRL",0,0,0
"59",203118,"Spiranthes australis","WHM",0,0,0
"60",203119,"Spiranthes australis","MYA",0,0,0
"61",203120,"Spiranthes australis","THA",0,0,0
"62",203121,"Spiranthes australis","VIE",0,0,0
"63",203122,"Spiranthes australis","BOR",0,0,0
"64",203123,"Spiranthes australis","JAW",0,0,0
"65",203124,"Spiranthes australis","LSI",0,0,0
"66",203125,"Spiranthes australis","MLY",0,0,0
"67",203126,"Spiranthes australis","MOL",0,0,0
"68",203127,"Spiranthes australis","PHI",0,0,0
"69",203128,"Spiranthes australis","SUL",0,0,0
"70",203129,"Spiranthes australis","SUM",0,0,0
"71",203130,"Spiranthes australis","NWG",0,0,0
"72",203131,"Spiranthes australis","SOL",0,0,0
"73",203132,"Spiranthes australis","NSW",0,0,0
"74",203133,"Spiranthes australis","QLD",0,0,0
"75",203134,"Spiranthes australis","SOA",0,0,0
"76",203135,"Spiranthes australis","TAS",0,0,0
"77",203136,"Spiranthes australis","VIC",0,0,0
"78",203137,"Spiranthes australis","CTM",0,0,0
"79",203138,"Spiranthes australis","NZN",0,0,0
"80",203139,"Spiranthes australis","NZS",0,0,0
"81",203140,"Spiranthes australis","NUE",0,0,0
"82",203141,"Spiranthes australis","NWC",0,0,0
"83",203142,"Spiranthes australis","SAM",0,0,0
"84",203143,"Spiranthes australis","TON",0,0,0
"85",203144,"Spiranthes australis","VAN",0,0,0
"86",203145,"Spiranthes brevilabris","TEX",0,0,0
"87",203146,"Spiranthes brevilabris","ALA",0,0,0
"88",203147,"Spiranthes brevilabris","FLA",0,0,0
"89",203148,"Spiranthes brevilabris","GEO",0,0,0
"90",203149,"Spiranthes brevilabris","LOU",0,0,0
"91",203150,"Spiranthes brevilabris","MSI",0,0,0
"92",203151,"Spiranthes brevilabris","NCA",0,0,0
"93",203152,"Spiranthes brevilabris","SCA",0,0,0
"94",203153,"Spiranthes brevilabris var. brevilabris","TEX",0,0,0
"95",203154,"Spiranthes brevilabris var. brevilabris","ALA",0,0,0
"96",203155,"Spiranthes brevilabris var. brevilabris","FLA",0,0,0
"97",203156,"Spiranthes brevilabris var. brevilabris","GEO",0,0,0
"98",203157,"Spiranthes brevilabris var. brevilabris","LOU",0,0,0
"99",203158,"Spiranthes brevilabris var. brevilabris","MSI",0,0,0
"100",203159,"Spiranthes brevilabris var. floridana","TEX",0,0,0
"101",203160,"Spiranthes brevilabris var. floridana","ALA",0,0,0
"102",203161,"Spiranthes brevilabris var. floridana","FLA",0,0,0
"103",203162,"Spiranthes brevilabris var. floridana","GEO",0,0,0
"104",203163,"Spiranthes brevilabris var. floridana","LOU",0,0,0
"105",203164,"Spiranthes brevilabris var. floridana","MSI",0,0,0
"106",203165,"Spiranthes brevilabris var. floridana","NCA",0,0,0
"107",203166,"Spiranthes brevilabris var. floridana","SCA",0,0,0
"108",203167,"Spiranthes casei","NSC",0,0,0
"109",203168,"Spiranthes casei","ONT",0,0,0
"110",203169,"Spiranthes casei","QUE",0,0,0
"111",203170,"Spiranthes casei","MIN",0,0,0
"112",203171,"Spiranthes casei","WIS",0,0,0
"113",203172,"Spiranthes casei","MAI",0,0,0
"114",203173,"Spiranthes casei","MIC",0,0,0
"115",203174,"Spiranthes casei","NWH",0,0,0
"116",203175,"Spiranthes casei","NWY",0,0,0
"117",203176,"Spiranthes casei","PEN",0,0,0
"118",203177,"Spiranthes casei","VER",0,0,0
"119",203178,"Spiranthes casei var. casei","NSC",0,0,0
"120",203179,"Spiranthes casei var. casei","ONT",0,0,0
"121",203180,"Spiranthes casei var. casei","QUE",0,0,0
"122",203181,"Spiranthes casei var. casei","MIN",0,0,0
"123",203182,"Spiranthes casei var. casei","WIS",0,0,0
"124",203183,"Spiranthes casei var. casei","MAI",0,0,0
"125",203184,"Spiranthes casei var. casei","MIC",0,0,0
"126",203185,"Spiranthes casei var. casei","NWH",0,0,0
"127",203186,"Spiranthes casei var. casei","NWY",0,0,0
"128",203187,"Spiranthes casei var. casei","PEN",0,0,0
"129",203188,"Spiranthes casei var. casei","VER",0,0,0
"130",203189,"Spiranthes casei var. novaescotiae","NSC",0,0,0
"131",203190,"Spiranthes cernua","NBR",0,0,0
"132",203191,"Spiranthes cernua","NSC",0,0,0
"133",203192,"Spiranthes cernua","PEI",0,0,0
"134",203193,"Spiranthes cernua","ILL",0,0,0
"135",203194,"Spiranthes cernua","MIN",0,0,0
"136",203195,"Spiranthes cernua","MSO",0,0,0
"137",203196,"Spiranthes cernua","OKL",0,0,0
"138",203197,"Spiranthes cernua","CNT",0,0,0
"139",203198,"Spiranthes cernua","MAI",0,0,0
"140",203199,"Spiranthes cernua","MAS",0,0,0
"141",203200,"Spiranthes cernua","NWH",0,0,0
"142",203201,"Spiranthes cernua","NWJ",0,0,0
"143",203202,"Spiranthes cernua","NWY",0,0,0
"144",203203,"Spiranthes cernua","OHI",0,0,0
"145",203204,"Spiranthes cernua","PEN",0,0,0
"146",203205,"Spiranthes cernua","RHO",0,0,0
"147",203206,"Spiranthes cernua","VER",0,0,0
"148",203207,"Spiranthes cernua","WVA",0,0,0
"149",203208,"Spiranthes cernua","TEX",0,0,0
"150",203209,"Spiranthes cernua","ALA",0,0,0
"151",203210,"Spiranthes cernua","ARK",0,0,0
"152",203211,"Spiranthes cernua","FLA",0,0,0
"153",203212,"Spiranthes cernua","GEO",0,0,0
"154",203213,"Spiranthes cernua","KTY",0,0,0
"155",203214,"Spiranthes cernua","LOU",0,0,0
"156",203215,"Spiranthes cernua","MRY",0,0,0
"157",203216,"Spiranthes cernua","MSI",0,0,0
"158",203217,"Spiranthes cernua","NCA",0,0,0
"159",203218,"Spiranthes cernua","SCA",0,0,0
"160",203219,"Spiranthes cernua","TEN",0,0,0
"161",203220,"Spiranthes cernua","VRG",0,0,0
"162",203221,"Spiranthes delitescens","ARI",0,0,0
"163",203222,"Spiranthes diluvialis","COL",0,0,0
"164",203223,"Spiranthes diluvialis","IDA",0,0,0
"165",203224,"Spiranthes diluvialis","MNT",0,0,0
"166",203225,"Spiranthes diluvialis","WAS",0,0,0
"167",203226,"Spiranthes diluvialis","WYO",0,0,0
"168",203227,"Spiranthes diluvialis","NEB",0,0,0
"169",203228,"Spiranthes diluvialis","NEV",0,0,0
"170",203229,"Spiranthes diluvialis","UTA",0,0,0
"171",203230,"Spiranthes flexuosa","AFG",0,0,0
"172",203231,"Spiranthes flexuosa","CHC",0,0,0
"173",203232,"Spiranthes flexuosa","CHS",0,0,0
"174",203233,"Spiranthes flexuosa","JAP",0,0,0
"175",203234,"Spiranthes flexuosa","NNS",0,0,0
"176",203235,"Spiranthes flexuosa","TAI",0,0,0
"177",203236,"Spiranthes flexuosa","ASS",0,0,0
"178",203237,"Spiranthes flexuosa","EHM",0,0,0
"179",203238,"Spiranthes flexuosa","IND",0,0,0
"180",203239,"Spiranthes flexuosa","NEP",0,0,0
"181",203240,"Spiranthes flexuosa","SRL",0,0,0
"182",203241,"Spiranthes flexuosa","WHM",0,0,0
"183",203242,"Spiranthes flexuosa","MYA",0,0,0
"184",203243,"Spiranthes flexuosa","THA",0,0,0
"185",203244,"Spiranthes flexuosa","VIE",0,0,0
"186",203245,"Spiranthes flexuosa","BOR",0,0,0
"187",203246,"Spiranthes flexuosa","JAW",0,0,0
"188",203247,"Spiranthes flexuosa","MLY",0,0,0
"189",203248,"Spiranthes flexuosa","SUM",0,0,0
"190",203249,"Spiranthes graminea","MXC",0,0,0
